index,key,priority,max_delay_ms,arrival_ts,send_ts,done_ts,delay_ms,latency_us
71,item_0071,M,7417,2025-11-19T19:20:56.206781-08:00,2025-11-19T19:20:56.207558-08:00,2025-11-19T19:20:56.211481-08:00,0,3923
72,key_0072,M,6614,2025-11-19T19:20:56.522781-08:00,2025-11-19T19:20:56.523196-08:00,2025-11-19T19:20:56.525325-08:00,0,2129
73,user_0073,M,3284,2025-11-19T19:20:56.675781-08:00,2025-11-19T19:20:56.67682-08:00,2025-11-19T19:20:56.679655-08:00,1,2835
74,data_0074,M,8726,2025-11-19T19:20:56.675781-08:00,2025-11-19T19:20:56.676911-08:00,2025-11-19T19:20:56.679656-08:00,1,2744
75,item_0075,H,0,2025-11-19T19:20:56.692781-08:00,2025-11-19T19:20:56.693515-08:00,2025-11-19T19:20:56.696697-08:00,0,3181
76,key_0076,M,8469,2025-11-19T19:20:56.694781-08:00,2025-11-19T19:20:56.695057-08:00,2025-11-19T19:20:56.696943-08:00,0,1886
77,user_0077,H,0,2025-11-19T19:20:56.694781-08:00,2025-11-19T19:20:56.695232-08:00,2025-11-19T19:20:56.696697-08:00,0,1464
78,data_0078,L,158706,2025-11-19T19:20:56.703781-08:00,2025-11-19T19:20:56.704271-08:00,2025-11-19T19:20:56.707137-08:00,0,2865
79,item_0079,M,1484,2025-11-19T19:20:56.764781-08:00,2025-11-19T19:20:56.765908-08:00,2025-11-19T19:20:56.76947-08:00,1,3561
80,key_0080,H,579,2025-11-19T19:20:56.764781-08:00,2025-11-19T19:20:56.766108-08:00,2025-11-19T19:20:56.769471-08:00,1,3362
81,user_0081,H,662,2025-11-19T19:20:56.772781-08:00,2025-11-19T19:20:56.773658-08:00,2025-11-19T19:20:56.776334-08:00,0,2675
82,data_0082,L,65522,2025-11-19T19:20:56.779781-08:00,2025-11-19T19:20:56.780315-08:00,2025-11-19T19:20:56.782651-08:00,0,2335
83,item_0083,H,503,2025-11-19T19:20:56.784781-08:00,2025-11-19T19:20:56.785282-08:00,2025-11-19T19:20:56.786284-08:00,0,1001
84,key_0084,L,52558,2025-11-19T19:20:56.810781-08:00,2025-11-19T19:20:56.81187-08:00,2025-11-19T19:20:56.81337-08:00,1,1499
85,user_0085,M,3030,2025-11-19T19:20:57.517781-08:00,2025-11-19T19:20:57.518706-08:00,2025-11-19T19:20:57.523753-08:00,0,5046
86,data_0086,M,2991,2025-11-19T19:20:57.517781-08:00,2025-11-19T19:20:57.519088-08:00,2025-11-19T19:20:57.523773-08:00,1,4685
87,item_0087,H,876,2025-11-19T19:20:57.517781-08:00,2025-11-19T19:20:57.518691-08:00,2025-11-19T19:20:57.523753-08:00,0,5061
88,key_0088,M,6349,2025-11-19T19:20:57.517781-08:00,2025-11-19T19:20:57.518968-08:00,2025-11-19T19:20:57.523753-08:00,1,4784
89,user_0089,H,41,2025-11-19T19:20:57.525781-08:00,2025-11-19T19:20:57.52649-08:00,2025-11-19T19:20:57.527824-08:00,0,1333
90,data_0090,M,1267,2025-11-19T19:20:57.529781-08:00,2025-11-19T19:20:57.530451-08:00,2025-11-19T19:20:57.531622-08:00,0,1170
91,item_0091,M,6769,2025-11-19T19:20:57.529781-08:00,2025-11-19T19:20:57.53048-08:00,2025-11-19T19:20:57.531622-08:00,0,1141
92,key_0092,M,7434,2025-11-19T19:20:57.918781-08:00,2025-11-19T19:20:57.919285-08:00,2025-11-19T19:20:57.922048-08:00,0,2762
93,user_0093,M,6120,2025-11-19T19:20:57.925781-08:00,2025-11-19T19:20:57.927168-08:00,2025-11-19T19:20:57.928835-08:00,1,1667
94,data_0094,H,105,2025-11-19T19:20:57.928781-08:00,2025-11-19T19:20:57.929192-08:00,2025-11-19T19:20:57.930162-08:00,0,969
95,item_0095,L,92581,2025-11-19T19:20:58.496781-08:00,2025-11-19T19:20:58.501829-08:00,2025-11-19T19:20:58.505693-08:00,5,3863
96,key_0096,L,42864,2025-11-19T19:20:58.525781-08:00,2025-11-19T19:20:58.526824-08:00,2025-11-19T19:20:58.529371-08:00,1,2546
97,user_0097,M,1552,2025-11-19T19:20:59.122781-08:00,2025-11-19T19:20:59.12431-08:00,2025-11-19T19:20:59.128754-08:00,1,4443
98,data_0098,M,5120,2025-11-19T19:20:59.130781-08:00,2025-11-19T19:20:59.13147-08:00,2025-11-19T19:20:59.132629-08:00,0,1158
99,item_0099,L,976474,2025-11-19T19:20:59.136781-08:00,2025-11-19T19:20:59.137677-08:00,2025-11-19T19:20:59.138668-08:00,0,991
100,key_0100,L,448012,2025-11-19T19:20:59.488781-08:00,2025-11-19T19:20:59.490192-08:00,2025-11-19T19:20:59.495301-08:00,1,5109
